# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;grinning face;face|grin|grinning face
	👨🏾‍🤝‍👨🏻;men holding hands: medium-dark skin tone, light skin tone;couple|Gemini|holding hands|light skin tone|man|medium-dark skin tone|men|men holding hands|men holding hands: medium-dark skin tone, light skin tone|twins|zodiac
	👨🏾‍🤝‍👨🏼;men holding hands: medium-dark skin tone, medium-light skin tone;couple|Gemini|holding hands|man|medium-dark skin tone|medium-light skin tone|men|men holding hands|men holding hands: medium-dark skin tone, medium-light skin tone|twins|zodiac
	👨🏾‍🤝‍👨🏽;men holding hands: medium-dark skin tone, medium skin tone;couple|Gemini|holding hands|man|medium skin tone|medium-dark skin tone|men|men holding hands|men holding hands: medium-dark skin tone, medium skin tone|twins|zodiac
	👬🏾;men holding hands: medium-dark skin tone;couple|Gemini|holding hands|man|medium-dark skin tone|men|men holding hands|men holding hands: medium-dark skin tone|twins|zodiac
	👨🏾‍🤝‍👨🏿;men holding hands: medium-dark skin tone, dark skin tone;couple|dark skin tone|Gemini|holding hands|man|medium-dark skin tone|men|men holding hands|men holding hands: medium-dark skin tone, dark skin tone|twins|zodiac
	👨🏿‍🤝‍👨🏻;men holding hands: dark skin tone, light skin tone;couple|dark skin tone|Gemini|holding hands|light skin tone|man|men|men holding hands|men holding hands: dark skin tone, light skin tone|twins|zodiac
	👨🏿‍🤝‍👨🏼;men holding hands: dark skin tone, medium-light skin tone;couple|dark skin tone|Gemini|holding hands|man|medium-light skin tone|men|men holding hands|men holding hands: dark skin tone, medium-light skin tone|twins|zodiac
	👨🏿‍🤝‍👨🏽;men holding hands: dark skin tone, medium skin tone;couple|dark skin tone|Gemini|holding hands|man|medium skin tone|men|men holding hands|men holding hands: dark skin tone, medium skin tone|twins|zodiac
	👨🏿‍🤝‍👨🏾;men holding hands: dark skin tone, medium-dark skin tone;couple|dark skin tone|Gemini|holding hands|man|medium-dark skin tone|men|men holding hands|men holding hands: dark skin tone, medium-dark skin tone|twins|zodiac
	👬🏿;men holding hands: dark skin tone;couple|dark skin tone|Gemini|holding hands|man|men|men holding hands|men holding hands: dark skin tone|twins|zodiac
💏;kiss;couple|kiss
	💏🏻;kiss: light skin tone;couple|kiss|kiss: light skin tone|light skin tone
	💏🏼;kiss: medium-light skin tone;couple|kiss|kiss: medium-light skin tone|medium-light skin tone
	💏🏽;kiss: medium skin tone;couple|kiss|kiss: medium skin tone|medium skin tone
	💏🏾;kiss: medium-dark skin tone;couple|kiss|kiss: medium-dark skin tone|medium-dark skin tone
	💏🏿;kiss: dark skin tone;couple|dark skin tone|kiss|kiss: dark skin tone
	🧑🏻‍❤️‍💋‍🧑🏼;kiss: person, person, light skin tone, medium-light skin tone;couple|kiss|kiss: person, person, light skin tone, medium-light skin tone|light skin tone|medium-light skin tone|person
	🧑🏻‍❤️‍💋‍🧑🏽;kiss: person, person, light skin tone, medium skin tone;couple|kiss|kiss: person, person, light skin tone, medium skin tone|light skin tone|medium skin tone|person
	🧑🏻‍❤️‍💋‍🧑🏾;kiss: person, person, light skin tone, medium-dark skin tone;couple|kiss|kiss: person, person, light skin tone, medium-dark skin tone|light skin tone|medium-dark skin tone|person
	🧑🏻‍❤️‍💋‍🧑🏿;kiss: person, person, light skin tone, dark skin tone;couple|dark skin tone|kiss|kiss: person, person, light skin tone, dark skin tone|light skin tone|person
	🧑🏼‍❤️‍💋‍🧑🏻;kiss: person, person, medium-light skin tone, light skin tone;couple|kiss|kiss: person, person, medium-light skin tone, light skin tone|light skin tone|medium-light skin tone|person
	🧑🏼‍❤️‍💋‍🧑🏽;kiss: person, person, medium-light skin tone, medium skin tone;couple|kiss|kiss: person, person, medium-light skin tone, medium skin tone|medium skin tone|medium-light skin tone|person
	🧑🏼‍❤️‍💋‍🧑🏾;kiss: person, person, medium-light skin tone, medium-dark skin tone;couple|kiss|kiss: person, person, medium-light skin tone, medium-dark skin tone|medium-dark skin tone|medium-light skin tone|person
	🧑🏼‍❤️‍💋‍🧑🏿;kiss: person, person, medium-light skin tone, dark skin tone;couple|dark skin tone|kiss|kiss: person, person, medium-light skin tone, dark skin tone|medium-light skin tone|person
	🧑🏽‍❤️‍💋‍🧑🏻;kiss: person, person, medium skin tone, light skin tone;couple|kiss|kiss: person, person, medium skin tone, light skin tone|light skin tone|medium skin tone|person
	🧑🏽‍❤️‍💋‍🧑🏼;kiss: person, person, medium skin tone, medium-light skin tone;couple|kiss|kiss: person, person, medium skin tone, medium-light skin tone|medium skin tone|medium-light skin tone|person
	🧑🏽‍❤️‍💋‍🧑🏾;kiss: person, person, medium skin tone, medium-dark skin tone;couple|kiss|kiss: person, person, medium skin tone, medium-dark skin tone|medium skin tone|medium-dark skin tone|person
	🧑🏽‍❤️‍💋‍🧑🏿;kiss: person, person, medium skin tone, dark skin tone;couple|dark skin tone|kiss|kiss: person, person, medium skin tone, dark skin tone|medium skin tone|person
	🧑🏾‍❤️‍💋‍🧑🏻;kiss: person, person, medium-dark skin tone, light skin tone;couple|kiss|kiss: person, person, medium-dark skin tone, light skin tone|light skin tone|medium-dark skin tone|person
	🧑🏾‍❤️‍💋‍🧑🏼;kiss: person, person, medium-dark skin tone, medium-light skin tone;couple|kiss|kiss: person, person, medium-dark skin tone, medium-light skin tone|medium-dark skin tone|medium-light skin tone|person
	🧑🏾‍❤️‍💋‍🧑🏽;kiss: person, person, medium-dark skin tone, medium skin tone;couple|kiss|kiss: person, person, medium-dark skin tone, medium skin tone|medium skin tone|medium-dark skin tone|person
	🧑🏾‍❤️‍💋‍🧑🏿;kiss: person, person, medium-dark skin tone, dark skin tone;couple|dark skin tone|kiss|kiss: person, person, medium-dark skin tone, dark skin tone|medium-dark skin tone|person
	🧑🏿‍❤️‍💋‍🧑🏻;kiss: person, person, dark skin tone, light skin tone;couple|dark skin tone|kiss|kiss: person, person, dark skin tone, light skin tone|light skin tone|person
	🧑🏿‍❤️‍💋‍🧑🏼;kiss: person, person, dark skin tone, medium-light skin tone;couple|dark skin tone|kiss|kiss: person, person, dark skin tone, medium-light skin tone|medium-light skin tone|person
	🧑🏿‍❤️‍💋‍🧑🏽;kiss: person, person, dark skin tone, medium skin tone;couple|dark skin tone|kiss|kiss: person, person, dark skin tone, medium skin tone|medium skin tone|person
	🧑🏿‍❤️‍💋‍🧑🏾;kiss: person, person, dark skin tone, medium-dark skin tone;couple|dark skin tone|kiss|kiss: person, person, dark skin tone, medium-dark skin tone|medium-dark skin tone|person
👩‍❤️‍💋‍👨;kiss: woman, man;couple|kiss|kiss: woman, man|man|woman
	👩🏻‍❤️‍💋‍👨🏻;kiss: woman, man, light skin tone;couple|kiss|kiss: woman, man, light skin tone|light skin tone|man|woman
	👩🏻‍❤️‍💋‍👨🏼;kiss: woman, man, light skin tone, medium-light skin tone;couple|kiss|kiss: woman, man, light skin tone, medium-light skin tone|light skin tone|man|medium-light skin tone|woman
	👩🏻‍❤️‍💋‍👨🏽;kiss: woman, man, light skin tone, medium skin tone;couple|kiss|kiss: woman, man, light skin tone, medium skin tone|light skin tone|man|medium skin tone|woman
	👩🏻‍❤️‍💋‍👨🏾;kiss: woman, man, light skin tone, medium-dark skin tone;couple|kiss|kiss: woman, man, light skin tone, medium-dark skin tone|light skin tone|man|medium-dark skin tone|woman
	👩🏻‍❤️‍💋‍👨🏿;kiss: woman, man, light skin tone, dark skin tone;couple|dark skin tone|kiss|kiss: woman, man, light skin tone, dark skin tone|light skin tone|man|woman
	👩🏼‍❤️‍💋‍👨🏻;kiss: woman, man, medium-light skin tone, light skin tone;couple|kiss|kiss: woman, man, medium-light skin tone, light skin tone|light skin tone|man|medium-light skin tone|woman
	👩🏼‍❤️‍💋‍👨🏼;kiss: woman, man, medium-light skin tone;couple|kiss|kiss: woman, man, medium-light skin tone|man|medium-light skin tone|woman
	👩🏼‍❤️‍💋‍👨🏽;kiss: woman, man, medium-light skin tone, medium skin tone;couple|kiss|kiss: woman, man, medium-light skin tone, medium skin tone|man|medium skin tone|medium-light skin tone|woman
	👩🏼‍❤️‍💋‍👨🏾;kiss: woman, man, medium-light skin tone, medium-dark skin tone;couple|kiss|kiss: woman, man, medium-light skin tone, medium-dark skin tone|man|medium-dark skin tone|medium-light skin tone|woman
	👩🏼‍❤️‍💋‍👨🏿;kiss: woman, man, medium-light skin tone, dark skin tone;couple|dark skin tone|kiss|kiss: woman, man, medium-light skin tone, dark skin tone|man|medium-light skin tone|woman
	👩🏽‍❤️‍💋‍👨🏻;kiss: woman, man, medium skin tone, light skin tone;couple|kiss|kiss: woman, man, medium skin tone, light skin tone|light skin tone|man|medium skin tone|woman
	👩🏽‍❤️‍💋‍👨🏼;kiss: woman, man, medium skin tone, medium-light skin tone;couple|kiss|kiss: woman, man, medium skin tone, medium-light skin tone|man|medium skin tone|medium-light skin tone|woman
	👩🏽‍❤️‍💋‍👨🏽;kiss: woman, man, medium skin tone;couple|kiss|kiss: woman, man, medium skin tone|man|medium skin tone|woman
	👩🏽‍❤️‍💋‍👨🏾;kiss: woman, man, medium skin tone, medium-dark skin tone;couple|kiss|kiss: woman, man, medium skin tone, medium-dark skin tone|man|medium skin tone|medium-dark skin tone|woman
	👩🏽‍❤️‍💋‍👨🏿;kiss: woman, man, medium skin tone, dark skin tone;couple|dark skin tone|kiss|kiss: woman, man, medium skin tone, dark skin tone|man|medium skin tone|woman
	👩🏾‍❤️‍💋‍👨🏻;kiss: woman, man, medium-dark skin tone, light skin tone;couple|kiss|kiss: woman, man, medium-dark skin tone, light skin tone|light skin tone|man|medium-dark skin tone|woman
	👩🏾‍❤️‍💋‍👨🏼;kiss: woman, man, medium-dark skin tone, medium-light skin tone;couple|kiss|kiss: woman, man, medium-dark skin tone, medium-light skin tone|man|medium-dark skin tone|medium-light skin tone|woman
	👩🏾‍❤️‍💋‍👨🏽;kiss: woman, man, medium-dark skin tone, medium skin tone;couple|kiss|kiss: woman, man, medium-dark skin tone, medium skin tone|man|medium skin tone|medium-dark skin tone|woman
	👩🏾‍❤️‍💋‍👨🏾;kiss: woman, man, medium-dark skin tone;couple|kiss|kiss: woman, man, medium-dark skin tone|man|medium-dark skin tone|woman
	👩🏾‍❤️‍💋‍👨🏿;kiss: woman, man, medium-dark skin tone, dark skin tone;couple|dark skin tone|kiss|kiss: woman, man, medium-dark skin tone, dark skin tone|man|medium-dark skin tone|woman
	👩🏿‍❤️‍💋‍👨🏻;kiss: woman, man, dark skin tone, light skin tone;couple|dark skin tone|kiss|kiss: woman, man, dark skin tone, light skin tone|light skin tone|man|woman
	👩🏿‍❤️‍💋‍👨🏼;kiss: woman, man, dark skin tone, medium-light skin tone;couple|dark skin tone|kiss|kiss: woman, man, dark skin tone, medium-light skin tone|man|medium-light skin tone|woman
	👩🏿‍❤️‍💋‍👨🏽;kiss: woman, man, dark skin tone, medium skin tone;couple|dark skin tone|kiss|kiss: woman, man, dark skin tone, medium skin tone|man|medium skin tone|woman
	👩🏿‍❤️‍💋‍👨🏾;kiss: woman, man, dark skin tone, medium-dark skin tone;couple|dark skin tone|kiss|kiss: woman, man, dark skin tone, medium-dark skin tone|man|medium-dark skin tone|woman
	👩🏿‍❤️‍💋‍👨🏿;kiss: woman, man, dark skin tone;couple|dark skin tone|kiss|kiss: woman, man, dark skin tone|man|woman
👨‍❤️‍💋‍👨;kiss: man, man;couple|kiss|kiss: man, man|man
	👨🏻‍❤️‍💋‍👨🏻;kiss: man, man, light skin tone;couple|kiss|kiss: man, man, light skin tone|light skin tone|man
	👨🏻‍❤️‍💋‍👨🏼;kiss: man, man, light skin tone, medium-light skin tone;couple|kiss|kiss: man, man, light skin tone, medium-light skin tone|light skin tone|man|medium-light skin tone
	👨🏻‍❤️‍💋‍👨🏽;kiss: man, man, light skin tone, medium skin tone;couple|kiss|kiss: man, man, light skin tone, medium skin tone|light skin tone|man|medium skin tone
	👨🏻‍❤️‍💋‍👨🏾;kiss: man, man, light skin tone, medium-dark skin tone;couple|kiss|kiss: man, man, light skin tone, medium-dark skin tone|light skin tone|man|medium-dark skin tone
	👨🏻‍❤️‍💋‍👨🏿;kiss: man, man, light skin tone, dark skin tone;couple|dark skin tone|kiss|kiss: man, man, light skin tone, dark skin tone|light skin tone|man
	👨🏼‍❤️‍💋‍👨🏻;kiss: man, man, medium-light skin tone, light skin tone;couple|kiss|kiss: man, man, medium-light skin tone, light skin tone|light skin tone|man|medium-light skin tone
	👨🏼‍❤️‍💋‍👨🏼;kiss: man, man, medium-light skin tone;couple|kiss|kiss: man, man, medium-light skin tone|man|medium-light skin tone
	👨🏼‍❤️‍💋‍👨🏽;kiss: man, man, medium-light skin tone, medium skin tone;couple|kiss|kiss: man, man, medium-light skin tone, medium skin tone|man|medium skin tone|medium-light skin tone
	👨🏼‍❤️‍💋‍👨🏾;kiss: man, man, medium-light skin tone, medium-dark skin tone;couple|kiss|kiss: man, man, medium-light skin tone, medium-dark skin tone|man|medium-dark skin tone|medium-light skin tone
	👨🏼‍❤️‍💋‍👨🏿;kiss: man, man, medium-light skin tone, dark skin tone;couple|dark skin tone|kiss|kiss: man, man, medium-light skin tone, dark skin tone|man|medium-light skin tone
	👨🏽‍❤️‍💋‍👨🏻;kiss: man, man, medium skin tone, light skin tone;couple|kiss|kiss: man, man, medium skin tone, light skin tone|light skin tone|man|medium skin tone
	👨🏽‍❤️‍💋‍👨🏼;kiss: man, man, medium skin tone, medium-light skin tone;couple|kiss|kiss: man, man, medium skin tone, medium-light skin tone|man|medium skin tone|medium-light skin tone
	👨🏽‍❤️‍💋‍👨🏽;kiss: man, man, medium skin tone;couple|kiss|kiss: man, man, medium skin tone|man|medium skin tone
	👨🏽‍❤️‍💋‍👨🏾;kiss: man, man, medium skin tone, medium-dark skin tone;couple|kiss|kiss: man, man, medium skin tone, medium-dark skin tone|man|medium skin tone|medium-dark skin tone
	👨🏽‍❤️‍💋‍👨🏿;kiss: man, man, medium skin tone, dark skin tone;couple|dark skin tone|kiss|kiss: man, man, medium skin tone, dark skin tone|man|medium skin tone
	👨🏾‍❤️‍💋‍👨🏻;kiss: man, man, medium-dark skin tone, light skin tone;couple|kiss|kiss: man, man, medium-dark skin tone, light skin tone|light skin tone|man|medium-dark skin tone
	👨🏾‍❤️‍💋‍👨🏼;kiss: man, man, medium-dark skin tone, medium-light skin tone;couple|kiss|kiss: man, man, medium-dark skin tone, medium-light skin tone|man|medium-dark skin tone|medium-light skin tone
	👨🏾‍❤️‍💋‍👨🏽;kiss: man, man, medium-dark skin tone, medium skin tone;couple|kiss|kiss: man, man, medium-dark skin tone, medium skin tone|man|medium skin tone|medium-dark skin tone
	👨🏾‍❤️‍💋‍👨🏾;kiss: man, man, medium-dark skin tone;couple|kiss|kiss: man, man, medium-dark skin tone|man|medium-dark skin tone
	👨🏾‍❤️‍💋‍👨🏿;kiss: man, man, medium-dark skin tone, dark skin tone;couple|dark skin tone|kiss|kiss: man, man, medium-dark skin tone, dark skin tone|man|medium-dark skin tone
	👨🏿‍❤️‍💋‍👨🏻;kiss: man, man, dark skin tone, light skin tone;couple|dark skin tone|kiss|kiss: man, man, dark skin tone, light skin tone|light skin tone|man
	👨🏿‍❤️‍💋‍👨🏼;kiss: man, man, dark skin tone, medium-light skin tone;couple|dark skin tone|kiss|kiss: man, man, dark skin tone, medium-light skin tone|man|medium-light skin tone
	👨🏿‍❤️‍💋‍👨🏽;kiss: man, man, dark skin tone, medium skin tone;couple|dark skin tone|kiss|kiss: man, man, dark skin tone, medium skin tone|man|medium skin tone
	👨🏿‍❤️‍💋‍👨🏾;kiss: man, man, dark skin tone, medium-dark skin tone;couple|dark skin tone|kiss|kiss: man, man, dark skin tone, medium-dark skin tone|man|medium-dark skin tone
	👨🏿‍❤️‍💋‍👨🏿;kiss: man, man, dark skin tone;couple|dark skin tone|kiss|kiss: man, man, dark skin tone|man
👩‍❤️‍💋‍👩;kiss: woman, woman;couple|kiss|kiss: woman, woman|woman
	👩🏻‍❤️‍💋‍👩🏻;kiss: woman, woman, light skin tone;couple|kiss|kiss: woman, woman, light skin tone|light skin tone|woman
	👩🏻‍❤️‍💋‍👩🏼;kiss: woman, woman, light skin tone, medium-light skin tone;couple|kiss|kiss: woman, woman, light skin tone, medium-light skin tone|light skin tone|medium-light skin tone|woman
	👩🏻‍❤️‍💋‍👩🏽;kiss: woman, woman, light skin tone, medium skin tone;couple|kiss|kiss: woman, woman, light skin tone, medium skin tone|light skin tone|medium skin tone|woman
	👩🏻‍❤️‍💋‍👩🏾;kiss: woman, woman, light skin tone, medium-dark skin tone;couple|kiss|kiss: woman, woman, light skin tone, medium-dark skin tone|light skin tone|medium-dark skin tone|woman
	👩🏻‍❤️‍💋‍👩🏿;kiss: woman, woman, light skin tone, dark skin tone;couple|dark skin tone|kiss|kiss: woman, woman, light skin tone, dark skin tone|light skin tone|woman
	👩🏼‍❤️‍💋‍👩🏻;kiss: woman, woman, medium-light skin tone, light skin tone;couple|kiss|kiss: woman, woman, medium-light skin tone, light skin tone|light skin tone|medium-light skin tone|woman
	👩🏼‍❤️‍💋‍👩🏼;kiss: woman, woman, medium-light skin tone;couple|kiss|kiss: woman, woman, medium-light skin tone|medium-light skin tone|woman
	👩🏼‍❤️‍💋‍👩🏽;kiss: woman, woman, medium-light skin tone, medium skin tone;couple|kiss|kiss: woman, woman, medium-light skin tone, medium skin tone|medium skin tone|medium-light skin tone|woman
	👩🏼‍❤️‍💋‍👩🏾;kiss: woman, woman, medium-light skin tone, medium-dark skin tone;couple|kiss|kiss: woman, woman, medium-light skin tone, medium-dark skin tone|medium-dark skin tone|medium-light skin tone|woman
	👩🏼‍❤️‍💋‍👩🏿;kiss: woman, woman, medium-light skin tone, dark skin tone;couple|dark skin tone|kiss|kiss: woman, woman, medium-light skin tone, dark skin tone|medium-light skin tone|woman
	👩🏽‍❤️‍💋‍👩🏻;kiss: woman, woman, medium skin tone, light skin tone;couple|kiss|kiss: woman, woman, medium skin tone, light skin tone|light skin tone|medium skin tone|woman
	👩🏽‍❤️‍💋‍👩🏼;kiss: woman, woman, medium skin tone, medium-light skin tone;couple|kiss|kiss: woman, woman, medium skin tone, medium-light skin tone|medium skin tone|medium-light skin tone|woman
	👩🏽‍❤️‍💋‍👩🏽;kiss: woman, woman, medium skin tone;couple|kiss|kiss: woman, woman, medium skin tone|medium skin tone|woman
	👩🏽‍❤️‍💋‍👩🏾;kiss: woman, woman, medium skin tone, medium-dark skin tone;couple|kiss|kiss: woman, woman, medium skin tone, medium-dark skin tone|medium skin tone|medium-dark skin tone|woman
	👩🏽‍❤️‍💋‍👩🏿;kiss: woman, woman, medium skin tone, dark skin tone;couple|dark skin tone|kiss|kiss: woman, woman, medium skin tone, dark skin tone|medium skin tone|woman
	👩🏾‍❤️‍💋‍👩🏻;kiss: woman, woman, medium-dark skin tone, light skin tone;couple|kiss|kiss: woman, woman, medium-dark skin tone, light skin tone|light skin tone|medium-dark skin tone|woman
	👩🏾‍❤️‍💋‍👩🏼;kiss: woman, woman, medium-dark skin tone, medium-light skin tone;couple|kiss|kiss: woman, woman, medium-dark skin tone, medium-light skin tone|medium-dark skin tone|medium-light skin tone|woman
	👩🏾‍❤️‍💋‍👩🏽;kiss: woman, woman, medium-dark skin tone, medium skin tone;couple|kiss|kiss: woman, woman, medium-dark skin tone, medium skin tone|medium skin tone|medium-dark skin tone|woman
	👩🏾‍❤️‍💋‍👩🏾;kiss: woman, woman, medium-dark skin tone;couple|kiss|kiss: woman, woman, medium-dark skin tone|medium-dark skin tone|woman
	👩🏾‍❤️‍💋‍👩🏿;kiss: woman, woman, medium-dark skin tone, dark skin tone;couple|dark skin tone|kiss|kiss: woman, woman, medium-dark skin tone, dark skin tone|medium-dark skin tone|woman
	👩🏿‍❤️‍💋‍👩🏻;kiss: woman, woman, dark skin tone, light skin tone;couple|dark skin tone|kiss|kiss: woman, woman, dark skin tone, light skin tone|light skin tone|woman
	👩🏿‍❤️‍💋‍👩🏼;kiss: woman, woman, dark skin tone, medium-light skin tone;couple|dark skin tone|kiss|kiss: woman, woman, dark skin tone, medium-light skin tone|medium-light skin tone|woman
	👩🏿‍❤️‍💋‍👩🏽;kiss: woman, woman, dark skin tone, medium skin tone;couple|dark skin tone|kiss|kiss: woman, woman, dark skin tone, medium skin tone|medium skin tone|woman
	👩🏿‍❤️‍💋‍👩🏾;kiss: woman, woman, dark skin tone, medium-dark skin tone;couple|dark skin tone|kiss|kiss: woman, woman, dark skin tone, medium-dark skin tone|medium-dark skin tone|woman
	👩🏿‍❤️‍💋‍👩🏿;kiss: woman, woman, dark skin tone;couple|dark skin tone|kiss|kiss: woman, woman, dark skin tone|woman
💑;couple with heart;couple|couple with heart|love
	💑🏻;couple with heart: light skin tone;couple|couple with heart|couple with heart: light skin tone|light skin tone|love
	💑🏼;couple with heart: medium-light skin tone;couple|couple with heart|couple with heart: medium-light skin tone|love|medium-light skin tone
	💑🏽;couple with heart: medium skin tone;couple|couple with heart|couple with heart: medium skin tone|love|medium skin tone
	💑🏾;couple with heart: medium-dark skin tone;couple|couple with heart|couple with heart: medium-dark skin tone|love|medium-dark skin tone
	💑🏿;couple with heart: dark skin tone;couple|couple with heart|couple with heart: dark skin tone|dark skin tone|love
	🧑🏻‍❤️‍🧑🏼;couple with heart: person, person, light skin tone, medium-light skin tone;couple|couple with heart|couple with heart: person, person, light skin tone, medium-light skin tone|light skin tone|love|medium-light skin tone|person
	🧑🏻‍❤️‍🧑🏽;couple with heart: person, person, light skin tone, medium skin tone;couple|couple with heart|couple with heart: person, person, light skin tone, medium skin tone|light skin tone|love|medium skin tone|person
	🧑🏻‍❤️‍🧑🏾;couple with heart: person, person, light skin tone, medium-dark skin tone;couple|couple with heart|couple with heart: person, person, light skin tone, medium-dark skin tone|light skin tone|love|medium-dark skin tone|person
	🧑🏻‍❤️‍🧑🏿;couple with heart: person, person, light skin tone, dark skin tone;couple|couple with heart|couple with heart: person, person, light skin tone, dark skin tone|dark skin tone|light skin tone|love|person
	🧑🏼‍❤️‍🧑🏻;couple with heart: person, person, medium-light skin tone, light skin tone;couple|couple with heart|couple with heart: person, person, medium-light skin tone, light skin tone|light skin tone|love|medium-light skin tone|person
	🧑🏼‍❤️‍🧑🏽;couple with heart: person, person, medium-light skin tone, medium skin tone;couple|couple with heart|couple with heart: person, person, medium-light skin tone, medium skin tone|love|medium skin tone|medium-light skin tone|person
	🧑🏼‍❤️‍🧑🏾;couple with heart: person, person, medium-light skin tone, medium-dark skin tone;couple|couple with heart|couple with heart: person, person, medium-light skin tone, medium-dark skin tone|love|medium-dark skin tone|medium-light skin tone|person
	🧑🏼‍❤️‍🧑🏿;couple with heart: person, person, medium-light skin tone, dark skin tone;couple|couple with heart|couple with heart: person, person, medium-light skin tone, dark skin tone|dark skin tone|love|medium-light skin tone|person
	🧑🏽‍❤️‍🧑🏻;couple with heart: person, person, medium skin tone, light skin tone;couple|couple with heart|couple with heart: person, person, medium skin tone, light skin tone|light skin tone|love|medium skin tone|person
	🧑🏽‍❤️‍🧑🏼;couple with heart: person, person, medium skin tone, medium-light skin tone;couple|couple with heart|couple with heart: person, person, medium skin tone, medium-light skin tone|love|medium skin tone|medium-light skin tone|person
	🧑🏽‍❤️‍🧑🏾;couple with heart: person, person, medium skin tone, medium-dark skin tone;couple|couple with heart|couple with heart: person, person, medium skin tone, medium-dark skin tone|love|medium skin tone|medium-dark skin tone|person
	🧑🏽‍❤️‍🧑🏿;couple with heart: person, person, medium skin tone, dark skin tone;couple|couple with heart|couple with heart: person, person, medium skin tone, dark skin tone|dark skin tone|love|medium skin tone|person
	🧑🏾‍❤️‍🧑🏻;couple with heart: person, person, medium-dark skin tone, light skin tone;couple|couple with heart|couple with heart: person, person, medium-dark skin tone, light skin tone|light skin tone|love|medium-dark skin tone|person
	🧑🏾‍❤️‍🧑🏼;couple with heart: person, person, medium-dark skin tone, medium-light skin tone;couple|couple with heart|couple with heart: person, person, medium-dark skin tone, medium-light skin tone|love|medium-dark skin tone|medium-light skin tone|person
	🧑🏾‍❤️‍🧑🏽;couple with heart: person, person, medium-dark skin tone, medium skin tone;couple|couple with heart|couple with heart: person, person, medium-dark skin tone, medium skin tone|love|medium skin tone|medium-dark skin tone|person
	🧑🏾‍❤️‍🧑🏿;couple with heart: person, person, medium-dark skin tone, dark skin tone;couple|couple with heart|couple with heart: person, person, medium-dark skin tone, dark skin tone|dark skin tone|love|medium-dark skin tone|person
	🧑🏿‍❤️‍🧑🏻;couple with heart: person, person, dark skin tone, light skin tone;couple|couple with heart|couple with heart: person, person, dark skin tone, light skin tone|dark skin tone|light skin tone|love|person
	🧑🏿‍❤️‍🧑🏼;couple with heart: person, person, dark skin tone, medium-light skin tone;couple|couple with heart|couple with heart: person, person, dark skin tone, medium-light skin tone|dark skin tone|love|medium-light skin tone|person
	🧑🏿‍❤️‍🧑🏽;couple with heart: person, person, dark skin tone, medium skin tone;couple|couple with heart|couple with heart: person, person, dark skin tone, medium skin tone|dark skin tone|love|medium skin tone|person
	🧑🏿‍❤️‍🧑🏾;couple with heart: person, person, dark skin tone, medium-dark skin tone;couple|couple with heart|couple with heart: person, person, dark skin tone, medium-dark skin tone|dark skin tone|love|medium-dark skin tone|person
👩‍❤️‍👨;couple with heart: woman, man;couple|couple with heart|couple with heart: woman, man|love|man|woman
	👩🏻‍❤️‍👨🏻;couple with heart: woman, man, light skin tone;couple|couple with heart|couple with heart: woman, man, light skin tone|light skin tone|love|man|woman
	👩🏻‍❤️‍👨🏼;couple with heart: woman, man, light skin tone, medium-light skin tone;couple|couple with heart|couple with heart: woman, man, light skin tone, medium-light skin tone|light skin tone|love|man|medium-light skin tone|woman
	👩🏻‍❤️‍👨🏽;couple with heart: woman, man, light skin tone, medium skin tone;couple|couple with heart|couple with heart: woman, man, light skin tone, medium skin tone|light skin tone|love|man|medium skin tone|woman
	👩🏻‍❤️‍👨🏾;couple with heart: woman, man, light skin tone, medium-dark skin tone;couple|couple with heart|couple with heart: woman, man, light skin tone, medium-dark skin tone|light skin tone|love|man|medium-dark skin tone|woman
	👩🏻‍❤️‍👨🏿;couple with heart: woman, man, light skin tone, dark skin tone;couple|couple with heart|couple with heart: woman, man, light skin tone, dark skin tone|dark skin tone|light skin tone|love|man|woman
	👩🏼‍❤️‍👨🏻;couple with heart: woman, man, medium-light skin tone, light skin tone;couple|couple with heart|couple with heart: woman, man, medium-light skin tone, light skin tone|light skin tone|love|man|medium-light skin tone|woman
	👩🏼‍❤️‍👨🏼;couple with heart: woman, man, medium-light skin tone;couple|couple with heart|couple with heart: woman, man, medium-light skin tone|love|man|medium-light skin tone|woman
	👩🏼‍❤️‍👨🏽;couple with heart: woman, man, medium-light skin tone, medium skin tone;couple|couple with heart|couple with heart: woman, man, medium-light skin tone, medium skin tone|love|man|medium skin tone|medium-light skin tone|woman
	👩🏼‍❤️‍👨🏾;couple with heart: woman, man, medium-light skin tone, medium-dark skin tone;couple|couple with heart|couple with heart: woman, man, medium-light skin tone, medium-dark skin tone|love|man|medium-dark skin tone|medium-light skin tone|woman
	👩🏼‍❤️‍👨🏿;couple with heart: woman, man, medium-light skin tone, dark skin tone;couple|couple with heart|couple with heart: woman, man, medium-light skin tone, dark skin tone|dark skin tone|love|man|medium-light skin tone|woman
	👩🏽‍❤️‍👨🏻;couple with heart: woman, man, medium skin tone, light skin tone;couple|couple with heart|couple with heart: woman, man, medium skin tone, light skin tone|light skin tone|love|man|medium skin tone|woman
	👩🏽‍❤️‍👨🏼;couple with heart: woman, man, medium skin tone, medium-light skin tone;couple|couple with heart|couple with heart: woman, man, medium skin tone, medium-light skin tone|love|man|medium skin tone|medium-light skin tone|woman
