# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;grinsendes Gesicht;Gesicht|grinsendes Gesicht|lol|lustig
🍔;Hamburger;Burger|Hamburger|Restaurant
🍟;Pommes frites;Fritten|Pommes|Pommes Frites
🍕;Pizza;Pizza|Pizzastück|Pizzeria
🌭;Hotdog;Frankfurter|Hot Dog|Hotdog|Wurst|Würstchen
🥪;Sandwich;Brot|Sandwich
🌮;Taco;mexikanisch|Taco
🌯;Burrito;Burrito|mexikanisch
🫔;Tamale;eingewickelt|mexikanisch|Tamale
🥙;Döner;Döner|Döner Kebab|Falafel|Wrap
🧆;Falafel;Bällchen|Falafel|Kichererbsen
🥚;Ei;Ei|Frühstück|Frühstücksei
🍳;Spiegelei in Bratpfanne;Kochen|Pfanne|Spiegelei in Bratpfanne
🥘;Pfannengericht;Essen|Paella|Pfannengericht|Reispfanne
🍲;Topf mit Essen;Eintopf|Gericht|Topf mit Essen
🫕;Fondue;Fondue|geschmolzen|Käse|Schokolade|schweizerisch|Topf
🥣;Schüssel mit Löffel;Cerealien|Frühstück|Reisbrei|Schüssel mit Löffel
🥗;Salat;Essen|Salat
🍿;Popcorn;Popcorn|Snack
🧈;Butter;Butter|Milchprodukt
🧂;Salz;Geschmack|Salz|Salzstreuer
🥫;Konserve;Dose|Konserve
🍱;Bento-Box;Bento|Bento-Box
🍘;Reiscracker;Cracker|Reiscracker
🍙;Reisbällchen;Reis|Reisbällchen
🍚;Reis in Schüssel;Reis|Reis in Schüssel
🍛;Reis mit Curry;Curry|Reis|Reis mit Curry
🍜;Schüssel und Essstäbchen;dampfend|Eiernudeln|Nudeln|Schüssel|Schüssel und Essstäbchen|Stäbchen|Suppe
🍝;Spaghetti;Nudeln mit Tomatensoße|Pasta|Spaghetti
🍠;geröstete Süßkartoffel;geröstet|geröstete Süßkartoffel|Süßkartoffel
🍢;Oden;japanisches Gericht|Oden|Restaurant
🍣;Sushi;japanisches Gericht|Restaurant|Sushi
🍤;frittierte Garnele;frittierte Garnele|Garnele|Restaurant
🍥;Fischfrikadelle;Fisch|Fischfrikadelle
🥮;Mondkuchen;Festival|Herbst|Mondkuchen|Yuebing
🍡;Dango;Dango|japanisches Gericht|Mochi-Kugeln auf einem Spieß|Restaurant
🥟;Teigtasche;chinesische Teigtasche|Empanada|Gyōza|Jiaozi|Pierogi|Teigtasche
🥠;Glückskeks;Glückskeks|Prophezeiung
🥡;Takeaway-Schachtel;Takeaway-Box|Takeaway-Schachtel
🦀;Krebs;Krebs|Sternzeichen|Tierkreis
🦞;Hummer;Hummer|Meeresfrüchte
🦐;Garnele;Garnele|Gourmet|Krustentier
🦑;Tintenfisch;Kalmar|Tintenfisch
🦪;Auster;Auster|Perle|tauchen
🍦;Softeis;Eis|Softeis
🍧;Wassereis;Eis|Sorbet|Wassereis
🍨;Eiscreme;Eis|Eisbecher|Eiscreme|Eisdiele
🍩;Donut;Donut|Doughnut
🍪;Keks;Cookie|Keks
🎂;Geburtstagskuchen;Geburtstag|Geburtstagskuchen|Torte
🍰;Torte;Kuchen|Kuchenstück|Stück Torte|Torte|Tortenstück
🧁;Cupcake;Cupcake|Gebäck|Konditorei|Muffin|süß
🥧;Kuchen;Füllung|Gebäck|Kuchen
🍫;Schokoladentafel;Schokolade|Schokoladentafel
🍬;Bonbon;Bonbon|Süßigkeit
🍭;Lutscher;Lolli|Lutscher|Süßigkeit
🍮;Pudding;Dessert|Nachspeise|Nachtisch|Pudding|Schokolade|Soße
🍯;Honigtopf;Honig|Honigtopf
🍼;Babyflasche;Baby|Babyflasche|Fläschchen|Kind|Milch|trinken
🥛;Glas Milch;Getränk|Glas|Milch
☕;Heißgetränk;dampfend|Getränk|heiß|Heißgetränk|Kaffee|Tee|trinken
🫖;Teekanne;Kanne|Tee|Teekanne|trinken
🍵;Teetasse ohne Henkel;Tee|Teetasse|Teetasse ohne Henkel
🍶;Sake-Flasche mit Tasse;Flasche|Getränk|Sake|Sake-Flasche mit Tasse|Tasse|trinken
🍾;Flasche mit knallendem Korken;Champagner|Flasche|Flasche mit knallendem Korken|Korken|Sekt|trinken
🍷;Weinglas;Bar|Glas|Wein|Weinglas
🍸;Cocktailglas;Bar|Cocktail|Cocktailglas
🍹;Cocktail;Bar|Cocktail|exotisches Getränk
🍺;Bierkrug;Bar|Bier|Bierkrug|Krug
🍻;Bierkrüge;anstoßen|Bier|Bierkrüge
🥂;Sektgläser;anstoßen|feiern|Getränk|Sekt|Sektgläser
🥃;Trinkglas;Bar|Trinkglas|Whiskey
🫗;Flüssigkeit ausgießen;ausgießen|Flüssigkeit ausgießen|Getränk|gießen|Glas|leer|verschütten
🥤;Becher mit Strohhalm;Becher mit Strohhalm|Saft|Selters
🧋;Bubble Tea;Blase|Bubble Tea|Milch|Perle|Tee
🧃;Trinkpäckchen;Getränk|Saftpackung|Trinkpäckchen
🧉;Mate-Tee;Getränk|Mate-Tee
🧊;Eiswürfel;Eisberg|Eiswürfel|kalt
🥢;Essstäbchen;Essstäbchen|Hashi|Stäbchen
🍽️;Teller mit Messer und Gabel;Gabel|kochen|Messer|Teller mit Messer und Gabel
🍴;Messer und Gabel;Besteck|Gabel|Gabel und Messer|Messer|Messer und Gabel
🥄;Löffel;Besteck|Löffel
🔪;Küchenmesser;Küchenmesser|Messer
🫙;Einmachglas;Einmachglas|Einweckglas|Gewürzglas|leer|Marmeladeglas
🏺;Amphore;Amphore|Gefäß|kochen|Krug|Vase|Wassermann

[travel_places]
🌍;Globus mit Europa und Afrika;Afrika|Europa|Globus mit Europa und Afrika|Weltkugel
🌎;Globus mit Amerika;Globus mit Amerika|Nordamerika|Südamerika|Weltkugel
🌏;Globus mit Asien und Australien;Asien|Australien|Globus mit Asien und Australien|Weltkugel
🌐;Globus mit Meridianen;Breitengrad|Globus mit Meridianen|Längengrad
🗺️;Weltkarte;Karte|Welt|Weltkarte
🗾;Umriss von Japan;Japan|Karte|Umriss von Japan
🧭;Kompass;Himmelsrichtung|Kompass|magnetisch|Navigation|Orientierung|Windrose
🏔️;schneebedeckter Berg;Berg|kalt|Schnee|schneebedeckter Berg
⛰️;Berg;Berg|Gebirge
🌋;Vulkan;Ausbruch|Berg|Vulkan|Wetter
🗻;Fuji;Berg|Fuji
🏕️;Camping;campen|Camping|Zelt|zelten
🏖️;Strand mit Sonnenschirm;Meer|Sonnenschirm|Strand|Strand mit Sonnenschirm
🏜️;Wüste;Wüste
🏝️;einsame Insel;einsam|einsame Insel|Insel|Meer|Strand|verlassen
🏞️;Nationalpark;Nationalpark|Park
🏟️;Stadion;Arena|Stadion
🏛️;antikes Gebäude;antik|antikes Gebäude|Gebäude|klassizistisch
🏗️;Kran;Bau|bauen|Kran
🧱;Ziegelstein;Klinker|Mauerwerk|Wand|Ziegel|Ziegelstein
🪨;Felsen;Felsen|Stein
🪵;Holz;Feuerholz|Holz|Holzscheite
🛖;Hütte;Haus|Hütte|Jurte|Rundhaus
🏘️;Wohnhäuser;Gebäude|Haus|Häuser|Wohnhaus|Wohnhäuser|Wohnsiedlung
🏚️;verfallenes Haus;Gebäude|Haus|heruntergekommen|verfallen|verfallenes Haus|verlassen
🏠;Haus;Gebäude|Haus|Zuhause
🏡;Haus mit Garten;Baum|Haus|Haus mit Garten
🏢;Bürogebäude;Bürogebäude|Hochhaus
🏣;japanisches Postgebäude;Japan|japanisches Postgebäude|Post
🏤;Postgebäude;Europa|Post|Postgebäude
🏥;Krankenhaus;Arzt|Gebäude|krank|Krankenhaus|Medizin
🏦;Bank;Bank|Gebäude|Geld
🏨;Hotel;Gebäude|Hotel|übernachten|Unterkunft
🏩;Stundenhotel;Gebäude|Hotel|Liebe|Stundenhotel|Unterkunft
🏪;Minimarkt;einkaufen|Gebäude|Geschäft|Lebensmittel|Minimarkt
🏫;Schule;Gebäude|Schule|Schulgebäude
🏬;Kaufhaus;einkaufen|Gebäude|Geschäft|Kaufhaus|shoppen
🏭;Fabrik;Fabrik|Fabrikgebäude|Gebäude
🏯;japanisches Schloss;Bauwerk|Gebäude|Japan|japanisch|japanisches Schloss|Schloss
🏰;Schloss;Bauwerk|Europa|europäisch|Gebäude|Schloss
💒;Hochzeit;Herz|Hochzeit|Kirche
🗼;Tokyo Tower;Fernsehturm|Tokio|Tokyo Tower
🗽;Freiheitsstatue;Amerika|Freiheit|Freiheitsstatue
⛪;Kirche;Christ|Christentum|christlich|Gebäude|Kirche|Kreuz|Religion
🕌;Moschee;Islam|Moschee|Moslem|Muslim|Religion
🛕;Hindutempel;Hindu|Hindutempel|Tempel
🕍;Synagoge;Jude|jüdisch|Religion|Synagoge|Tempel
⛩️;Shinto-Schrein;Religion|Schrein|Shinto|Shinto-Schrein
🕋;Kaaba;Islam|Kaaba|Moslem|Muslim|Religion
⛲;Springbrunnen;Brunnen|Garten|Park|Springbrunnen
⛺;Zelt;Camping|Campingurlaub|Zelt|Zeltplatz
🌁;neblig;Nebel|neblig|Wetter
🌃;Sternenhimmel;Nacht|Sterne|Sternenhimmel
🏙️;Skyline;Gebäude|Häuser|Hochhäuser|Skyline|Stadt|Wolkenkratzer
🌄;Sonnenaufgang über Bergen;Berge|Sonnenaufgang|Sonnenaufgang über Bergen
🌅;Sonnenaufgang über dem Meer;Meer|Sonnenaufgang|Sonnenaufgang über dem Meer
🌆;Abendstimmung in der Stadt;Abendstimmung in der Stadt|Hochhäuser|Sonnenuntergang
🌇;Sonnenuntergang in der Stadt;Hochhäuser|Sonnenuntergang|Sonnenuntergang in der Stadt
🌉;Brücke vor Nachthimmel;Brücke|Brücke vor Nachthimmel|Golden Gate|Nacht|nachts
♨️;heiße Quellen;Dampf|dampfend|heiß|heiße Quellen|Quellen
🎠;Karussellpferd;Karussell|Karussellpferd|Pferd
🛝;Spielplatzrutsche;Rutsche|spielen|Spielplatz|Spielplatzrutsche|Vergnügungspark
🎡;Riesenrad;Freizeitpark|Rad|Riesenrad|Volksfest
🎢;Achterbahn;Achterbahn|Freizeitpark|Volksfest
💈;Barbershop-Säule;Barbershop-Säule|Herrenfriseur|Säule
🎪;Zirkuszelt;Unterhaltung|Zelt|Zirkus|Zirkuszelt
🚂;Dampflokomotive;Dampf|Dampflok|Dampflokomotive|Fahrzeug|Lokomotive|Zug
🚃;Eisenbahnwagen;Eisenbahnwagen|Fahrzeug|Wagen|Waggon|Zug
🚄;Hochgeschwindigkeitszug mit spitzer Nase;Hochgeschwindigkeitszug mit spitzer Nase|Shinkansen|TGV|Zug
🚅;Hochgeschwindigkeitszug;Hochgeschwindigkeitszug|Japan|Shinkansen|Zug
🚆;Zug;Eisenbahn|Zug
🚇;U-Bahn;Metro|U-Bahn
🚈;S-Bahn;S-Bahn|Zug
🚉;Bahnhof;Bahnhof|Zug
🚊;Straßenbahn;Straßenbahn|Tram
🚝;Einschienenbahn;Bahn|Einschienenbahn|Magnetschwebebahn
🚞;Bergbahn;Bahn|Bergbahn
🚋;Straßenbahnwagen;Straßenbahn|Straßenbahnwagen|Tram|Tramwagen
🚌;Bus;Bus|Fahrzeug
🚍;Bus von vorne;Bus|Bus von vorne
🚎;Oberleitungsbus;Oberleitungsbus|Trolleybus
🚐;Kleinbus;Bus|Kleinbus
🚑;Krankenwagen;Krankenwagen|Notfall
🚒;Feuerwehrauto;Brand|Feuerwehrauto|Löschfahrzeug
🚓;Polizeiwagen;Polizei|Polizeiwagen|Streifenwagen
🚔;Polizeiwagen von vorne;Polizei|Polizeiwagen von vorne|Streifenwagen
🚕;Taxi;Auto|Fahrzeug|Taxi
🚖;Taxi von vorne;Taxi|Taxi von vorne
🚗;Auto;Auto|Fahrzeug
🚘;Auto von vorne;Auto|Auto von vorne|Automobil|Fahrzeug
🚙;Wohnmobil;verreisen|Wohnmobil
🛻;Pick-up;Laster|Lieferwagen|Pick-up
🚚;Lieferwagen;Lastwagen|Lieferwagen|LKW
🚛;Sattelzug;Lastwagen|LKW|Sattelzug
🚜;Traktor;Landwirtschaft|Traktor|Trecker
🏎️;Rennauto;Autorennen|Rennauto
🏍️;Motorrad;Motorrad|Motorrennen
🛵;Motorroller;Motorroller|Roller|Vespa
🦽;manueller Rollstuhl;Barrierefreiheit|manueller Rollstuhl
🦼;elektrischer Rollstuhl;Barrierefreiheit|elektrischer Rollstuhl
🛺;Autorikscha;Autorikscha|Tuk-Tuk
🚲;Fahrrad;Fahrrad|Rad
🛴;Tretroller;Tretroller
🛹;Skateboard;Skateboard|Skateboard fahren
🛼;Rollschuh;Rollen|Rollschuh|Schuh
🚏;Bushaltestelle;Bus|Bushaltestelle|Haltestelle
🛣️;Autobahn;Autobahn|Schnellstraße
🛤️;Bahngleis;Bahngleis|Schienen
🛢️;Ölfass;Fass|Öl|Ölfass
⛽;Tanksäule;Benzin|tanken|Tanksäule|Tankstelle
🛞;Autorad;Autorad|drehen|Rad|Reifen|rotieren
🚨;Polizeilicht;Polizei|Polizeilicht
🚥;horizontale Verkehrsampel;Ampel|horizontale Verkehrsampel|Verkehrsampel|vertikal
🚦;vertikale Verkehrsampel;Ampel|horizontal|Verkehrsampel|vertikale Verkehrsampel
🛑;Stoppschild;achteckig|Schild|Stopp|Stoppschild
🚧;Baustellenabsperrung;Baustelle|Baustellenabsperrung|Schild
⚓;Anker;Anker|Hafen|Meer
🛟;Rettungsring;Leben retten|retten|Rettungsring|Schwimmring|Sicherheit
⛵;Segelboot;Boot|Segelboot
🛶;Kanu;Boot|Kanu|Wassersport
🚤;Schnellboot;Boot|Schnellboot
🛳️;Passagierschiff;Passagierschiff|Schiff|Seereise
⛴️;Fähre;Fähre|Schiff
🛥️;Motorboot;Boot|Motorboot|Schiff
🚢;Schiff;Dampfer|Kreuzfahrtschiff|Schiff
✈️;Flugzeug;Flieger|Flugzeug
🛩️;kleines Flugzeug;Flugzeug|klein|kleines Flugzeug
🛫;Abflug;Abflug|Flugzeug|Start|Start eines Flugzeugs
🛬;Landung eines Flugzeugs;Flugzeug|Landung|Landung eines Flugzeugs
🪂;Fallschirm;Fallschirm|Fallschirmspringen|Paragliding|Skydiving
💺;Sitzplatz;Flugzeug|Sitz|Sitzplatz|Zug
🚁;Hubschrauber;Helikopter|Hubschrauber
🚟;Schwebebahn;Hängebahn|Schwebebahn
🚠;Bergschwebebahn;Bergschwebebahn|Schwebebahn
🚡;Bergseilbahn;Bergseilbahn|Gondel|Seilbahn
🛰️;Satellit;Satellit|Weltraum
🚀;Rakete;Rakete|Weltraum
🛸;fliegende Untertasse;fliegende Untertasse|UFO
🛎️;Rezeptionsklingel;Klingel|Rezeptionsklingel
🧳;Gepäck;Ballast|Gepäck|Koffer|Reise
⌛;Sanduhr;Prozess|Sanduhr|Vorgang läuft
⏳;laufende Sanduhr;laufende Sanduhr|Prozess|Sanduhr|Vorgang läuft
⌚;Armbanduhr;Armbanduhr|Uhr
⏰;Wecker;Uhr|Uhrzeit|Wecker
⏱️;Stoppuhr;Stoppuhr|Uhr
⏲️;Zeitschaltuhr;Timer|Uhr|Zeitschaltuhr
🕰️;Kaminuhr;Kaminuhr|Uhr
🕛;Ziffernblatt 12:00 Uhr;0 Uhr|12:00 Uhr|Mittag|Mitternacht|Uhr|Ziffernblatt 12:00 Uhr|zwölf Uhr
🕧;12:30 Uhr;00:30|12:30|halb eins|Uhr|Ziffernblatt 12:30 Uhr
🕐;1:00 Uhr;01:00|1|1:00 Uhr|13:00|Punkt eins|Uhr|Ziffernblatt 1:00 Uhr
🕜;1:30 Uhr;1:30 Uhr|halb zwei|Uhr|Ziffernblatt 1:30 Uhr
🕑;2:00 Uhr;2|2:00 Uhr|Uhr|Ziffernblatt 2:00 Uhr
🕝;2:30 Uhr;2:30 Uhr|halb drei|Uhr|Ziffernblatt 2:30 Uhr
🕒;3:00 Uhr;3|3:00 Uhr|Uhr|Ziffernblatt 3:00 Uhr
🕞;3:30 Uhr;3:30 Uhr|halb vier|Uhr|Ziffernblatt 3:30 Uhr
🕓;4:00 Uhr;4|4:00 Uhr|Uhr|Ziffernblatt 4:00 Uhr
🕟;4:30 Uhr;04:30|16:30|4:30 Uhr|halb fünf|Uhr|Ziffernblatt 4:30 Uhr
🕔;5:00 Uhr;05:00|17:00|5|5:00 Uhr|Punkt fünf|Uhr|Ziffernblatt 5:00 Uhr
🕠;5:30 Uhr;05:30|17:30|5:30 Uhr|halb sechs|Uhr|Ziffernblatt 5:30 Uhr
🕕;6:00 Uhr;6|6:00 Uhr|Uhr|Ziffernblatt 6:00 Uhr
🕡;6:30 Uhr;6:30 Uhr|halb sieben|Uhr
🕖;7:00 Uhr;7|7:00 Uhr|Uhr|Ziffernblatt 7:00 Uhr
🕢;7:30 Uhr;7:30 Uhr|halb acht|Uhr|Ziffernblatt 7:30 Uhr
🕗;8:00 Uhr;8|8:00 Uhr|Uhr|Ziffernblatt 8:00 Uhr
🕣;8:30 Uhr;8:30 Uhr|halb neun|Uhr|Ziffernblatt 8:30 Uhr
🕘;9:00 Uhr;9|9:00 Uhr|Uhr|Ziffernblatt 9:00 Uhr
🕤;9:30 Uhr;9:30 Uhr|halb zehn|Uhr|Ziffernblatt 9:30 Uhr
🕙;10:00 Uhr;10|10:00 Uhr|Uhr|Ziffernblatt 10:00 Uhr
🕥;10:30 Uhr;10:30 Uhr|halb elf|Uhr|Ziffernblatt 10:30 Uhr
🕚;11:00 Uhr;11|11:00 Uhr|Uhr|Ziffernblatt 11:00 Uhr
🕦;11:30 Uhr;11:30 Uhr|halb zwölf|Uhr|Ziffernblatt 11:30 Uhr
🌑;Neumond;Mond|Neumond
🌒;erstes Mondviertel;erstes Mondviertel|Mond|zunehmend
🌓;zunehmender Halbmond;Halbmond|zunehmend|zunehmender Halbmond
🌔;zweites Mondviertel;Mond|zunehmend|zweites Mondviertel
🌕;Vollmond;Mond|Vollmond
🌖;drittes Mondviertel;abnehmend|drittes Mondviertel|Mond
🌗;abnehmender Halbmond;abnehmend|abnehmender Halbmond|Halbmond
🌘;letztes Mondviertel;abnehmend|letztes Mondviertel|Mond
🌙;Mondsichel;Mond|Mondsichel
🌚;Neumond mit Gesicht;Gesicht|Neumond|Neumond mit Gesicht
🌛;Mondsichel mit Gesicht links;Gesicht|Mondsichel|Mondsichel mit Gesicht links
🌜;Mondsichel mit Gesicht rechts;Gesicht|Mondsichel|Mondsichel mit Gesicht rechts
🌡️;Thermometer;Temperatur|Thermometer|Wetter
☀️;Sonne;Sonne|Sonnenstrahlen|sonnig|Strahlen|Wetter
🌝;Vollmond mit Gesicht;Gesicht|Vollmond|Vollmond mit Gesicht
🌞;Sonne mit Gesicht;Gesicht|Sonne|Sonne mit Gesicht
🪐;Ringplanet;Ringplanet|Saturn
⭐;weißer mittelgroßer Stern;Stern|weißer mittelgroßer Stern
🌟;funkelnder Stern;funkelnder Stern|Stern
🌠;Sternschnuppe;Himmel|Sternschnuppe
🌌;Milchstraße;Galaxie|Milchstraße
☁️;Wolke;Wetter|Wolke|wolkig
⛅;Sonne hinter Wolke;Sonne|Sonne hinter Wolke|Wolke|wolkig
⛈️;Wolke mit Blitz und Regen;Blitz|Gewitter|Regen|Wetter|Wolke|Wolke mit Blitz und Regen|wolkig
🌤️;Sonne hinter kleiner Wolke;kleine Wolke|Sonne|Sonne hinter kleiner Wolke|Wetter|Wolke
🌥️;Sonne hinter großer Wolke;große Wolke|Sonne|Sonne hinter großer Wolke|Wetter|Wolke
🌦️;Sonne hinter Regenwolke;Regenwolke|Sonne|Sonne hinter Regenwolke|Wetter
🌧️;Wolke mit Regen;Regen|Regenwolke|Wetter|Wolke|Wolke mit Regen
🌨️;Wolke mit Schnee;Schnee|Wetter|Wolke|Wolke mit Schnee
🌩️;Wolke mit Blitz;Blitz|Gewitter|Wetter|Wolke|Wolke mit Blitz
🌪️;Wirbelsturm;Wetter|Wirbelsturm
🌫️;Nebel;Nebel|neblig|Wetter
🌬️;Wind;Wetter|Wind|windig
🌀;Wirbel;Spirale|Wirbel|Wirbelsturm
🌈;Regenbogen;Regenbogen|Wetter
🌂;geschlossener Regenschirm;geschlossener Regenschirm|Regen|Regenschirm
☂️;Regenschirm;Bekleidung|Regen|Regenschirm|Wetter
☔;Regenschirm im Regen;Regen|Regenschirm|Regenschirm im Regen
⛱️;aufgestellter Sonnenschirm;aufgestellt|aufgestellter Sonnenschirm|Sonnenschirm
⚡;Hochspannung;Blitz|Gefahr|Hochspannung
❄️;Schneeflocke;Flocke|Schnee|Schneeflocke
☃️;Schneemann im Schnee;Schnee|Schneemann|Schneemann im Schnee
⛄;Schneemann ohne Schneeflocken;kalt|Schnee|Schneemann|Schneemann ohne Schneeflocken|Winter
☄️;Komet;Komet|Weltall
🔥;Feuer;Feuer|Flamme|heiß
💧;Tropfen;Schweiß|Tropfen|Wasser|Wassertropfen
🌊;Welle;Meer|Welle

[activities]
🎃;Halloweenkürbis;Halloween|Halloweenkürbis|Kürbis
🎄;Weihnachtsbaum;Baum|Tanne|Weihnachten|Weihnachtsbaum
🎆;Feuerwerk;Feuerwerk|Silvester
🎇;Wunderkerze;Feuerwerk|Wunderkerze
🧨;Feuerwerkskörper;Dynamit|explosiv|Feuerwerk|Feuerwerkskörper|Knaller
✨;funkelnde Sterne;*|funkelnde Sterne|Sterne
🎈;Luftballon;Geburtstag|Luftballon
🎉;Konfettibombe;Feier|Konfetti|Konfettibombe|Party
🎊;Konfettiball;Feier|Konfetti|Konfettiball
🎋;Tanabata-Baum;Baum|Fest|Japan|Sternenfest|Tanabata-Baum|Zettel
🎍;Piniendekoration;Japan|Neujahrsfest|Piniendekoration
🎎;japanische Puppen;japanische Puppen|Puppenfest Japan
🎏;traditionelle japanische Windsäcke;Feier|Karpfen|traditionelle japanische Windsäcke|Windsäcke
🎐;japanisches Windspiel;Feier|Glocke|japanisches Windspiel|Wind
🎑;traditionelles Mondfest;Japan|Mond|Mondfest|traditionelles Mondfest
🧧;roter Umschlag;Geld|Geschenk|Glück|Hongbao|roter Umschlag
🎀;pinke Schleife;Feier|pinke Schleife|Schleife
🎁;Geschenk;Feier|Geschenk|verpackt
🎗️;Gedenkschleife;Gedenkschleife|Schleife
🎟️;Eintrittskarten;Eintrittskarten|Ticket
🎫;Ticket;Konzert|Ticket|Unterhaltung
🎖️;Militärorden;Militärorden|Orden
🏆;Pokal;Pokal|Preis
🏅;Sportmedaille;Medaille|Sportmedaille
🥇;Goldmedaille;Erster|Goldmedaille|Medaille 1. Platz
🥈;Silbermedaille;Medaille 2. Platz|Silbermedaille|Zweiter
🥉;Bronzemedaille;Bronzemedaille|Dritter|Medaille 3. Platz
⚽;Fußball;Ball|Fußball
⚾;Baseball;Ball|Baseball
🥎;Softball;Ball|Handschuh|Softball
🏀;Basketball;Ball|Basketball|Korb|Sport
🏐;Volleyball;Ball|Volleyball
🏈;Football;Amerika|Ball|Football|Sport
🏉;Rugbyball;Ball|Rugby|Rugbyball|Sport
🎾;Tennisball;Ball|Sport|Tennis|Tennisball
🥏;Frisbee;Frisbee|Ultimate
🎳;Bowling;Bowling|Bowlingkugel|Kugel|Spiel
🏏;Kricket;Ball|Cricket|Kricket|Schläger
🏑;Feldhockey;Feldhockey|Hockey|Schläger
🏒;Eishockey;Eishockey|Hockey|Puck|Schläger
🥍;Lacrosse;Ball|Lacrosse|Schläger|Stock
🏓;Tischtennis;Ball|Schläger|Tischtennis
🏸;Badminton;Badminton|Federball|Schläger
🥊;Boxhandschuh;Boxen|Boxhandschuh|Handschuh|Sport
🥋;Kampfsportanzug;Judo|Kampfkunst|Kampfsport|Kampfsportanzug|Karate|Taekwondo
🥅;Tor;Sport|Tor
⛳;Golffahne;Golffahne|Golfplatz
⛸️;Schlittschuh;Eislauf|Schlittschuh
🎣;Angel mit Fisch;Angel mit Fisch|Angeln|Entspannung
🤿;Tauchmaske;schnorcheln|Sporttauchen|tauchen|Tauchmaske
🎽;Laufshirt;Laufen|Laufshirt|Schärpe|Sport
🎿;Ski;Ski|Ski und Stöcke
🛷;Schlitten;Rodel|Schlitten
🥌;Curlingstein;Curlingstein|Spiel|Stein
🎯;Darts;Dart|Darts|Spiel|Volltreffer|Zielscheibe
🪀;Jo-Jo;Jo-Jo|Spielzeug
🪁;Drachen;Drachen|fliegen|steigen
🔫;Wasserpistole;Pistole|Revolver|Waffe|Wasserpistole
🎱;Billardkugel;8-Ball|Billardkugel|Kugel|Spiel
🔮;Kristallkugel;Kristallkugel|Wahrsager
🪄;Zauberstab;Hexe|Hexer|Zauberei|Zauberer|Zauberin|Zauberstab
🎮;Gamepad;Gamepad|Gaming|Videospiel
🕹️;Joystick;Gaming|Joystick|Videospiel
🎰;Spielautomat;Glücksspiel|Spiel|Spielautomat
🎲;Spielwürfel;Spiel|Spielwürfel|Würfel
🧩;Puzzleteil;Puzzle|Puzzlestück|Puzzleteil
🧸;Teddybär;Kuscheltier|Plüschteddy|Plüschtier|Spielzeug|Teddybär
🪅;Piñata;Feier|Party|Piñata
🪩;Discokugel;Disco|Discokugel|Lichtreflexe|Party|Spiegelkugel|tanzen
🪆;Matroschka;Matrioschka|Matroschka|Puppe|Russland
♠️;Pik;Kartenspiel|Pik
♥️;Herz;Herz|Kartenspiel
♦️;Karo;Karo|Kartenspiel
♣️;Kreuz;Kartenspiel|Kreuz
♟️;Bauer Schach;Bauer Schach|Schach
🃏;Jokerkarte;Joker|Jokerkarte|Spielkarte
🀄;Mahjong-Stein;Mahjong|Mahjong-Stein|roter Drache
🎴;japanische Blumenkarte;Blume|Blumenkarte|Hanafuda|Japan|japanische Blumenkarte|Karte
🎭;Masken;Kunst|Masken|Theater|Unterhaltung
🖼️;gerahmtes Bild;Bild|Gemälde|gerahmtes Bild|Kunst|malen|Rahmen|Zeichnung
🎨;Mischpalette;Farben|Kunst|Künstler|Mischpalette|Palette
🧵;Faden;Faden|Nadel|Nähen|Zwirn
🪡;Nähnadel;Nadel|nähen|Nähnadel|Nähte|schneidern|Stiche|sticken
🧶;Wollknäuel;Häkeln|Stricken|Wolle|Wollknäuel
🪢;Knoten;binden|Knoten|Schnur|Seil|zusammendrehen

[objects]
👓;Brille;Accessoire|Brille
🕶️;Sonnenbrille;Augen|Brille|dunkel|Sonnenbrille
🥽;Schutzbrille;Augenschutz|Schutzbrille|Schweißen|Schwimmen
🥼;Laborkittel;Doktor|Experiment|Laborkittel|Wissenschaftler
🦺;Sicherheitsweste;Notfall|Sicherheit|Sicherheitsweste|Weste
👔;Hemd mit Krawatte;Hemd mit Krawatte|Kleidung|Kragen|Schlips
👕;T-Shirt;Kleidung|Shirt|T-Shirt
👖;Jeans;Hose|Jeans|Kleidung
🧣;Schal;Hals|Schal
🧤;Handschuhe;Hand|Handschuhe
🧥;Mantel;Jacke|Mantel
🧦;Socken;Socken|Strümpfe
👗;Kleid;Kleid|Kleidung
👘;Kimono;Kimono|Kleid|Kleidung
🥻;Sari;Kleid|Kleidung|Sari
🩱;einteiliger Badeanzug;Badeanzug|einteiliger Badeanzug
🩲;Slip;Badeanzug|Einteiler|Slip|Unterwäsche
🩳;Shorts;Badebekleidung|Boxershorts|Schwimmshorts|Shorts
👙;Bikini;Badeanzug|Bikini|Kleidung
👚;Bluse;Bluse|Damenmode|Kleidung|Oberbekleidung
🪭;;Fächer|Faltfächer|kühlen|schüchtern|warm
👛;Geldbörse;Accessoire|Brieftasche|Geldbörse|Portemonnaie
👜;Handtasche;Accessoire|Handtasche|Tasche
👝;Clutch;Accessoire|Clutch|Tasche
🛍️;Einkaufstüten;Einkaufen|Einkaufstüten|shoppen|Shopping
🎒;Schulranzen;Ranzen|Rucksack|Schule|Schulranzen|Tornister
🩴;Zehensandale;Zehensandale|Zehensandalen
👞;Herrenschuh;Herren|Herrenschuh|Schuh
